DATE,tv_S,radio_S,paid_search_S,competitor_sales,revenue
2017-10-01,0.0,0.0,0.0,6692937,96313360
2017-10-08,0.0,0.0,257908.2,6318695,90889760
2017-10-15,2068649.40000897,0.0,306649.2,7502615,107977120
2017-10-22,0.0,55400.2434019507,320163.8,7831618,112796960
2017-10-29,0.0,0.0,333108.6,8143583,117210640
2017-11-05,4460898.25142953,0.0,296245.4,7257478,104331920
2017-11-12,602297.101993472,0.0,251478.7,6171145,88838320
2017-11-19,2893523.38640246,2589.25607069117,314560.4,7750601,111426880
2017-11-26,0.0,0.0,375384.9,9208002,132757360
2017-12-03,0.0,26340.0622332813,350581.0,8612425,123781680
2017-12-10,2324204.85392607,0.0,384795.4,9417414,135368720
2017-12-17,0.0,9264.93370746141,395160.7,9737173,140143680
2017-12-24,0.0,0.0,0.0,9106712,131016960
2017-12-31,749566.751338814,0.0,0.0,10277254,147881280
2018-01-07,383037.311753323,0.0,622694.6,10254715,147575120
2018-01-14,0.0,16996.3069741885,612324.9,10041236,144420320
2018-01-21,0.0,0.0,577606.7,9486361,136621840
2018-01-28,1103502.87095035,0.0,521046.9,8546764,122707840
2018-02-04,0.0,5867.53930996242,542760.9,8911329,128179920
2018-02-11,1855450.37909435,0.0,502596.6,8232627,118695760
2018-02-18,0.0,31184.0278319174,487018.4,8010003,115275920
2018-02-25,2055082.13682239,0.0,526284.0,8663150,124756880
2018-03-04,0.0,31010.4312159836,450934.0,7390749,106270160
2018-03-11,1606248.05403089,0.0,545514.2,8939363,128740640
2018-03-18,0.0,0.0,580388.6,9538235,137175760
2018-03-25,0.0,0.0,0.0,7050208,101581520
2018-04-01,0.0,0.0,0.0,6449750,92847920
2018-04-08,0.0,0.0,413660.5,6783658,97544480
2018-04-15,91687.4123269564,0.0,365094.4,5967644,85705280
2018-04-22,0.0,0.0,393536.0,6445181,92712960
2018-04-29,0.0,0.0,304337.0,4962957,71340560
2018-05-06,0.0,0.0,284037.6,4623799,66595040
2018-05-13,1442955.99626391,0.0,311755.4,5092158,73360640
2018-05-20,0.0,0.0,320116.5,5199307,74699840
2018-05-27,2674245.39601193,0.0,283168.6,4599326,66219040
2018-06-03,0.0,0.0,269676.0,4390670,63214480
2018-06-10,2194355.05500847,0.0,250242.3,4076814,58705200
2018-06-17,0.0,0.0,231885.5,3766177,54068320
2018-06-24,972090.453746065,0.0,0.0,3670693,52687280
2018-07-01,0.0,0.0,0.0,3453395,49686480
2018-07-08,715730.851194905,0.0,264137.5,4302254,61836320
2018-07-15,0.0,0.0,242735.9,3932284,56571520
2018-07-22,0.0,0.0,239894.6,3887295,55902400
2018-07-29,3180864.86700429,0.0,196576.6,3194039,45860880
2018-08-05,0.0,0.0,240284.0,3883450,55946480
2018-08-12,3250860.40760869,0.0,290214.1,4738280,68032720
2018-08-19,0.0,0.0,272829.7,4439486,63880560
2018-08-26,2525316.42755796,0.0,286584.1,4666375,67149760
2018-09-02,0.0,0.0,329925.2,5389809,77551040
2018-09-09,0.0,13503.7132335387,339396.2,5536015,79619200
2018-09-16,917720.798079904,0.0,342644.5,5606454,80697440
2018-09-23,2398127.43887189,0.0,0.0,6074612,87310320
2018-09-30,248768.370564349,0.0,0.0,6949587,99996480
2018-10-07,2488948.31605365,0.0,358298.6,5844997,84124160
2018-10-14,756131.583638892,0.0,408603.8,6693401,96184640
2018-10-21,0.0,28940.7038109687,473110.0,7733726,111415520
2018-10-28,2877830.82547314,0.0,520099.8,8534590,122901920
2018-11-04,0.0,10105.656766291,529287.0,8694704,125194400
2018-11-11,3239585.12193331,0.0,430196.8,7037471,101361760
2018-11-18,0.0,56572.9689183584,525772.5,8645206,124332720
2018-11-25,1441769.83020743,0.0,583778.8,9591518,138022080
2018-12-02,339718.987965991,48809.6194805043,491865.0,8073281,116196960
2018-12-09,2167069.77929557,0.0,582286.1,9577155,138091360
2018-12-16,0.0,57009.0324582869,615118.9,10097898,145356560
2018-12-23,323334.577202586,0.0,0.0,11080573,159562320
2018-12-30,0.0,63538.6199340915,0.0,9773264,140523280
2019-01-06,2814739.00418511,0.0,878147.6,10839416,155954960
2019-01-13,0.0,51313.1241889362,865394.2,10678383,153378080
2019-01-20,0.0,0.0,799060.9,9866314,141976080
2019-01-27,1127952.81740769,0.0,725649.1,8952915,128804400
2019-02-03,721747.962570257,0.0,676915.8,8351760,120251520
2019-02-10,0.0,0.0,758943.9,9362051,134767760
2019-02-17,0.0,0.0,609867.5,7523374,108085040
2019-02-24,0.0,0.0,641249.4,7890104,113464080
2019-03-03,4162022.30827548,0.0,642026.0,7908855,113717040
2019-03-10,0.0,0.0,548443.5,6747683,97081600
2019-03-17,0.0,0.0,499620.0,6150339,88512080
2019-03-24,715997.407110873,45266.5099281681,0.0,6945121,99890800
2019-03-31,0.0,0.0,0.0,6935654,99878080
2019-04-07,0.0,0.0,519900.7,6390042,91870960
2019-04-14,0.0,0.0,456835.5,5597673,80390960
2019-04-21,1349829.46731969,0.0,445696.9,5470629,78669440
2019-04-28,0.0,0.0,524772.6,6426704,92731360
2019-05-05,2031760.73391741,0.0,405762.5,4974627,71558240
2019-05-12,0.0,0.0,380924.5,4660529,67014880
2019-05-19,1648641.52635245,0.0,336785.9,4118275,59383280
2019-05-26,0.0,0.0,289855.5,3534807,50760720
2019-06-02,0.0,0.0,367216.3,4503934,64784880
2019-06-09,769148.997674352,0.0,354209.9,4336319,62499280
2019-06-16,0.0,0.0,338610.8,4129652,59380400
2019-06-23,1618664.7207577,0.0,0.0,4298871,61855360
2019-06-30,0.0,0.0,0.0,3788051,54408640
2019-07-07,2899784.23639971,0.0,319047.3,3892388,56072320
2019-07-14,0.0,0.0,320675.3,3917766,56403440
2019-07-21,0.0,10551.9235003258,337280.9,4116852,59197520
2019-07-28,3182350.3137919,0.0,376625.7,4597931,66144080
2019-08-04,0.0,17836.4542302073,298323.3,3638685,52349360
2019-08-11,1662956.20916488,0.0,394442.4,4813019,69276800
2019-08-18,0.0,0.0,445291.0,5460741,78566640
2019-08-25,3994884.117961,0.0,535817.7,6583836,94792640
2019-09-01,0.0,0.0,481616.3,5914241,85203200
2019-09-08,0.0,0.0,475224.2,5839390,84130160
2019-09-15,0.0,0.0,485453.1,5955844,85604880
2019-09-22,2652339.78211231,0.0,0.0,6224877,89465040
2019-09-29,0.0,0.0,0.0,5862538,84265600
2019-10-06,1803838.89239408,3069.84896323036,542977.6,6682939,96204240
2019-10-13,0.0,0.0,521587.0,6410745,92104080
2019-10-20,0.0,67340.840588993,534421.8,6577080,94645360
2019-10-27,2021731.31529649,0.0,540346.4,6648545,95701040
2019-11-03,0.0,55793.1257158976,532225.1,6548587,94132720
2019-11-10,5364558.39520843,0.0,615968.1,7593137,109322480
2019-11-17,0.0,143155.631283664,753259.1,9298561,133724320
2019-11-24,1197755.60873342,0.0,712917.7,8780611,126160240
2019-12-01,0.0,0.0,639537.8,7878252,113266400
2019-12-08,1628928.68425427,40334.1931705678,740960.0,9156457,131796240
2019-12-15,818368.280497886,1799.72849591869,807909.3,9973948,143502320
2019-12-22,1311999.21861461,0.0,0.0,10342297,148804960
